Node,Max_RRC
AB3101XSC,198
AB3401XSC,77
AB3801XSC,97
AB800F,435
AB801F,140
AB805F,237
AB811F,121
AB814F,80
ASAC7X,143
ASAF7X,127
ASCI7X,148
ASDE7X,122
ASES01XMA,148
ASFA01X,619
ASFK7X,73
ASFV7X,168
ASFY1X,376
ASG1X,471
ASGD7X,111
ASGL1X,329
ASH7X,94
ASHN7X,78
ASHWX,500
ASKY01XMA,56
ASLX7X,232
ASN1X,425
ASNWX,425
ASOQ7X,155
ASP7X,136
ASPH01XMA,65
ASQ01XMA,44
ASR7X,114
ASSK09XMA,20
ASSK7X,334
ASSV1X,532
ASWGM01XMA,51
ASXD7X,125
ASY01X,528
ASYE01XMA,106
B66M01X,348
bb1_AB006_WAB006,302
bb1_AB007_WAB007,227
bb1_NS000_ANS000,109
bb1_ON02X_C5118,167
bb1_QC02P_EQC02P,125
bb1_QC041_EQC041,40
bb1_QC042_EQC042,77
BC00501X,142
BC005X,440
BC04302X,260
BC043X,320
BC06400X,419
BC06500X,447
BC0G02X,416
BC0G03X,175
BC0GX,343
BC0H02X,456
BC0H03X,133
BC0HX,676
BC0W02X,159
BC0WX,175
BC550110X,56
BF01X,185
BFX,219
BGV7X,61
BHFX,83
BI0A01XIB,32
BIH01XMA,179
BIHX,142
BM68Z01XMA,77
BN01C01XMA,66
BN01J01XMA,102
BN02Z01X,118
BN03Z01XMA,84
BN04A01XMA,85
BN04J01XMA,95
BN04P01XMA,163
BN04X01X,57
BN05L01XMA,50
BN06I01X,83
BN07K01X,43
BN07N01X,108
BN07N02XMA,25
BN08G01X,106
BN08J01XMA,70
BN08X01X,111
BN09S01XMA,93
BN09Z01X,218
BN10G01X,377
BN11S01X,152
BN11W01XMA,77
BN11Z01X,170
BN12Y01XMA,34
BN20U01XMA,55
BN21F01XMA,187
BN21Y01X,33
BN22M01X,209
BN22O01XMA,49
BN22T01XMA,66
BN30N01XMA,44
BN31K01XMA,60
BN31V01XMA,82
BN32V01XMA,26
BN33N01X,59
BN33Y01X,88
BN33Z01X,50
BN35U01X,89
BN40M01X,49
BN40X01XMA,30
BN41U01X,34
BN42Z01XMA,64
BN43M01XMA,67
BN44P01XMA,105
BN44Z01X,171
BN45A01X,134
BN48C01X,247
BN48T01XMA,35
BN49Z01XMA,32
BN50L01XMA,58
BN50U01XMA,157
BN51Y01XMA,56
BN52D01XMA,74
BN52N01XMA,75
BN53U01XMA,102
BN54S01XMA,60
BN54U01XMA,79
BN55C01XMA,71
BN56Z01X,167
BN57B01XMA,95
BN57Z01X,282
BN60B01XMA,73
